,No.,Is retweet?,Tweet ID,Post Date,User Display Name,User ID,User Info,User Location,Tweet Content,Number of Quotes,Number of Replies,Number of Likes,Number of Retweets,Raw link 1,Solved link 1,Raw link 2,Solved link 2,Raw link 3,Solved link 3,Raw link 4,Solved link 4,Raw link 5,Solved link 5,proccessed_tweet
103,104,Yes,1281260865757548549,Thu Jul 09 16:16:09 +0000 2020,💕Look at how she ate that💕,Bimboverse,16 | Black-Congolese✊🏿| British🤢 |✿Yes. I am a nun-bye-n-airy lez-bee-yan.✿ 👩‍❤️‍💋‍👩,Nova: They/She,"PSA: two trans girls in need of funds for rent &amp; groceries, as they are still out of work due to COVID. You can send funds to cashapp: $beyoncye 
or Venmo: moni_torrison. I can screenshot &amp; send  receipts for transparency 💛 thank you in advance :) pls share",0,0,0,0,,,,,,,,,,,"psa: two trans girls in need of funds for rent &amp; groceries, as they are still out of work due to covid. you can send funds to cashapp: $beyoncye or venmo: moni_torrison. i can screenshot &amp; send receipts for transparency thank you in advance :) pls share"
104,105,No,1281260875488395265,Thu Jul 09 16:16:12 +0000 2020,Ernst Nordholt,ErnstNordholt,"Journalist, Schrijver, Nieuwsjunk, Autogek, Scootmobielrijder,  $$$ Er is genoeg rottigheid als je er maar oog voor hebt",,BBC News - Why are we 'milking' crabs for a coronavirus vaccine? https://t.co/9A8j8PMfD2,0,0,0,0,https://t.co/9A8j8PMfD2,https://www.bbc.com/news/newsbeat-53333096,,,,,,,,,bbc news - why are we 'milking' crabs for a coronavirus vaccines
105,106,Yes,1281260882756919296,Thu Jul 09 16:16:13 +0000 2020,Abhisekh kumar Bisoyi,Lucifer_1438,Ex-Depaulian.  $$$ Present siliconite.,Bhubaneshwar,"Dear CM @Naveen_Odisha , what  about my young friends who have long been protesting with... #BPUTStapKaroNa  

Is #BPUT beyond COVID-19 ?

Have a look at the appended screen shot of a petition @Change . Mark the count of signatories...

May good sense prevail...
God bless...

SS https://t.co/x8GsGww6Pn https://t.co/0WXTGVhlhU",0,0,0,0,,,,,,,,,,,"dear cm , what about my young friends who have long been protesting with... is beyond covid-19 ? have a look at the appended screen shot of a petition . mark the count of signatories... may good sense prevail... god bless... ss"
106,107,Yes,1281260882794737665,Thu Jul 09 16:16:13 +0000 2020,Central Albertans For Freedom & Prosperity,AlbertansFor,"Central Albertans who promote less government, more govt accountability, and freedom and opportunities, that create prosperity for all.",,We don’t need a #SARSCoV2 vaccine. All prev #coronavirus outbreaks dissipated on own: no vaccine. We’re closer to herd immunity than we think: pre-existing cross-protective immunity &amp; strong T-cell immunity to virus. #HCQ effective as prophylaxis &amp; as treatment in early #COVID19.,0,0,0,0,,,,,,,,,,,we dont need a vaccines all prev outbreaks dissipated on own: no vaccines were closer to herd immunity than we think: pre-existing cross-protective immunity &amp; strong t-cell immunity to virus. effective as prophylaxis &amp; as treatment in early
107,108,Yes,1281260887467147264,Thu Jul 09 16:16:14 +0000 2020,Nancy Rentschler,NancyRentschle1,"73 year old Granny, Love Joey!!",,"Even with a flu vaccine, the flu is still more dangerous to children than COVID. Yet the people insisting that we keep schools closed for COVID never suggested that for the flu. The idea was never raised by any of these people. Thats why it's impossible to take them seriously now",0,0,0,0,,,,,,,,,,,even with a flu vaccines the flu is still more dangerous to children than covid. yet the people insisting that we keep schools closed for covid never suggested that for the flu. the idea was never raised by any of these people. thats why it's impossible to take them seriously now
108,109,Yes,1281260895629463560,Thu Jul 09 16:16:16 +0000 2020,VANZ,VAnnie71875849,ALLTHINGSTRUMP🚂🌬🇺🇸#MAGA🇺🇸HAPPILY MARRIED NOT looking for men🚫No Lists🚫porn🚫Liberals🇺🇸#Trump supporters followed#KAG🇺🇸Trump 2020 🇺🇸WWG1WGA🇺🇸,"Dallas, TX",Keep your eyes on Hawaii. The bill HB 2502 just passed...making the possibility of forced Covid-19 vaccinations on all school kids very possible...,0,0,0,0,,,,,,,,,,,keep your eyes on hawaii. the bill hb 2502 just passed...making the possibility of forced covid-19 vaccines on all school kids very possible...
109,110,Yes,1281260910070267904,Thu Jul 09 16:16:20 +0000 2020,Yuvraj_y2j,Y2jYuvraj,You don't know who I am,,"Dear CM @Naveen_Odisha , what  about my young friends who have long been protesting with... #BPUTStapKaroNa  

Is #BPUT beyond COVID-19 ?

Have a look at the appended screen shot of a petition @Change . Mark the count of signatories...

May good sense prevail...
God bless...

SS https://t.co/0WXTGVhlhU",0,0,0,0,,,,,,,,,,,"dear cm , what about my young friends who have long been protesting with... is beyond covid-19 ? have a look at the appended screen shot of a petition . mark the count of signatories... may good sense prevail... god bless... ss"
110,111,No,1281260916550451201,Thu Jul 09 16:16:21 +0000 2020,Liz powers,Lizpowe08720708,The beauty of twitter is—- twitter can’t control itself- except when it permanently bans people.,,@CoreysDigs Covid- certificate of vaccination ID.  That’s not creepy at all 🙄,0,0,0,0,,,,,,,,,,,covid- ceificate of vaccines id. thats not creepy at all
111,112,No,1281260930500907009,Thu Jul 09 16:16:25 +0000 2020,David DeLoatch,DavidDeLoatch9,,"Brooklyn, NY","@mega2e You should have started your article with black folks potentially being used as the first guinea pigs for the Covid19 vaccine. A rush to market vaccine given to one of the most marginalized people in America doesn't seem right, even if it does help, I won't be among the first",0,0,0,0,https://t.co/WEaewlfRtt,https://twitter.com/i/web/status/1281260930500907009,,,,,,,,,"you should have staed your aicle with black folks potentially being used as the first guinea pigs for the covid19 vaccines a rush to market vaccines given to one of the most marginalized people in america doesn't seem right, even if it does help, i won't be among the first"
112,113,Yes,1281260972070432768,Thu Jul 09 16:16:35 +0000 2020,gakby,6b8f9df242b54e7,1234,,"NYC residents right now have a greater chance of getting shot than dying from COVID-19. Just look at the numbers from the past week. For all the talk about masks, maybe we should also be passing out vests. New leadership is needed to save NYC and restore safety and security.",0,0,0,0,,,,,,,,,,,"nyc residents right now have a greater chance of getting shot than dying from covid-19. just look at the numbers from the past week. for all the talk about masks, maybe we should also be passing out vests. new leadership is needed to save nyc and restore safety and security."
113,114,Yes,1281260981239373826,Thu Jul 09 16:16:37 +0000 2020,Cass OMalley 🏳️‍🌈 🍀🗽,CassOMalley1,"An Older Wiser Lesbian (OWL), hippie progressive respect ALL POC and SENTIENT BEINGS! $$$ Partner AdvocateCBD $$$ Consultant 4 United Commercial Energy Partners","McKinney, TX 75070",Horseshoe crab blood is key to making a COVID-19 vaccine—but the ecosystem may suffer https://t.co/88r8Th6zQZ,0,0,0,0,https://t.co/88r8Th6zQZ,https://www.nationalgeographic.com/animals/2020/07/covid-vaccine-needs-horseshoe-crab-blood/,,,,,,,,,horseshoe crab blood is key to making a covid-19 vaccines the ecosystem may suffer
114,115,Yes,1281260992354271232,Thu Jul 09 16:16:39 +0000 2020,EBSCO_Health,EBSCO_Health,"EBSCO_Health provides top information resources for #healthcare professionals, now including HealthDecision and Option Grid.",,The process of developing a #vaccine often takes many years. Read about condensing that timeline here: https://t.co/tN1Lhky9HU #COVID19,0,0,0,0,,,,,,,,,,,the process of developing a often takes many years. read about condensing that timeline here:
115,116,Yes,1281260993285435392,Thu Jul 09 16:16:40 +0000 2020,Dr. Alicia,theladythinks,"HigherEd Admin Ph.D - Retired SF Communications Officer, SFA Assistant Director Bajoran Orientation College (She/Her/Hers) #LLAP 4/5/2063",Starfleet Academy,"As a historian of medicine, I can't say how true this is: ""the time for corona statecraft and education is now, before the vaccine arrives."" NOW.",0,0,0,0,,,,,,,,,,,"as a historian of medicine, i can't say how true this is: ""the time for corona statecraft and education is now, before the vaccines arrives."" now."
116,117,Yes,1281260994568892423,Thu Jul 09 16:16:40 +0000 2020,নাগরিক অভীক ঘোষ,iamonlyabhik,Excited brand management guy.. Passionate developing products for the welfare of young India..,India,"U.S. Government Spends Another $1.6 BILLION on COVID Vaccine with Company that ""Never Brought a Product to Market"" #OperationWarpSpeed #Novavax https://t.co/vGcncgg5gO... https://t.co/IjFKjWBhRf",0,0,0,0,,,,,,,,,,,"u.s. government spends another $1.6 billion on covid vaccines with company that ""never brought a product to market"" ..."
117,118,Yes,1281261006077882374,Thu Jul 09 16:16:43 +0000 2020,Megan Fitzwater,FitzwaterMegan,,,"NEXT BIG MEDIA HIT AGAINST BIG PHARMA

Brazil's President Jair Bolsonaro says he's taking hydroxychloroquine for his Coronavirus.

He takes his 3rd dose and he is feeling very well.

Hydroxychloroquine works. 
No vaccination is required. https://t.co/5qeBzooLDH",0,0,0,0,,,,,,,,,,,next big media hit against big pharma brazil's president jair bolsonaro says he's taking hydroxychloroquine for his coronavirus. he takes his 3rd dose and he is feeling very well. hydroxychloroquine works. no vaccines is required.
118,119,Yes,1281261012830871552,Thu Jul 09 16:16:44 +0000 2020,Shade Queen,_deja810,Psalm 46:5| CSU Alumna. It’s a marathon not a sprint but I still gotta win the raise.,,Folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.,0,0,0,0,,,,,,,,,,,folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.
119,120,No,1281261017721221122,Thu Jul 09 16:16:45 +0000 2020,Rafael Casas,SageRafaelCasas,"Consultant, Advisor, Technologist and Sr. Manager #Accountant Solutions @SageGroupPLC","San Diego, CA",U.S. Will Pay $1.6 Billion to Novavax for Coronavirus Vaccine https://t.co/4UitBndLgY,0,0,0,0,https://t.co/4UitBndLgY,https://www.nytimes.com/2020/07/07/health/novavax-coronavirus-vaccine-warp-speed.html?smid=tw-share,,,,,,,,,u.s. will pay $1.6 billion to novavax for coronavirus vaccines
120,121,Yes,1281261017998127105,Thu Jul 09 16:16:46 +0000 2020,Sachin kumar,Sachinchandel28,,,"India’s pharma industry is an asset not just for India but the entire world. Indian vaccines account for two-third of the vaccine needs of the children globally.

Our companies are active in collaboration with international efforts for development &amp; production of COVID19 vaccine. https://t.co/tVqfi9cHJn",0,0,0,0,,,,,,,,,,,indias pharma industry is an asset not just for india but the entire world. indian vaccines account for two-third of the vaccines needs of the children globally. our companies are active in collaboration with international effos for development &amp; production of covid19 vaccines
121,122,Yes,1281261025006780416,Thu Jul 09 16:16:47 +0000 2020,"Send Light,Rain",rain_send,"Jesus follower, love Mn and America, ponderer",,@Jordan_Sather_ If any body in the FDA and CDC  approves of coronavirus vaccine then there should be a immediate federal investigation on why a employee(s) approved a coronavirus vaccine knowing these Ingrediebts. look at picture https://t.co/EodRGMII83,0,0,0,0,,,,,,,,,,,if any body in the fda and cdc approves of coronavirus vaccines then there should be a immediate federal investigation on why a employee(s) approved a coronavirus vaccines knowing these ingrediebts. look at picture
122,123,Yes,1281261026374299648,Thu Jul 09 16:16:48 +0000 2020,Claire Callcott,cleth2,#KBF,,"No vaccine, no jobs!!
Digital certificates for everyone to prove your CV status.

Still think this is about a  virus? #digitalcertificates

https://t.co/UfxE3Cb3dC",0,0,0,0,,,,,,,,,,,no vaccines no jobs!! digital ceificates for everyone to prove your cv status. still think this is about a virus?
123,124,Yes,1281261043646451712,Thu Jul 09 16:16:52 +0000 2020,Social Distancing triple OG,EriqEnigma,"Originally from my home planet of Soularis but raised in Tyler,TX. ...MC/producer extrodanaire, Cannabis Activist, Human Kama Sutra","The Stars...  Houston,TX  area",Folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.,0,0,0,0,,,,,,,,,,,folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.
124,125,No,1281261060079697926,Thu Jul 09 16:16:56 +0000 2020,Brent Halsey,bhalsey,"Lucky dad and husband.  Engineer at Twitter.  Bikes for fun, health, and a healthier community.  He / him.","boulder, co",Distributing a Coronavirus vaccine depends on far more than science and engineering.  Great write up on issues we need to address to save lives and livelihoods.  https://t.co/dxCDrA8mRe,0,0,0,0,https://t.co/hSVGzZ1tN5,https://twitter.com/i/web/status/1281261060079697926,https://t.co/dxCDrA8mRe,https://www.nytimes.com/2020/07/09/opinion/coronavirus-vaccine-skepticism.html,,,,,,,distributing a coronavirus vaccines depends on far more than science and engineering. great write up on issues we need to address to save lives and livelihoods.
125,126,No,1281261089389510656,Thu Jul 09 16:17:03 +0000 2020,Scott,m2hmghb,Just a sarcastic asshole lover of tech. Been playing violent first person shooters since 1993 and haven't hurt anyone.  $$$  #ATeamGC,,@UncleSamsNation TB has a vaccine and it also can be cured with antibiotics (at least for now). Neither of which is true for SARS-COV-2,0,0,0,0,,,,,,,,,,,tb has a vaccines and it also can be cured with antibiotics (at least for now). neither of which is true for sars-cov-2
126,127,No,1281261094627979265,Thu Jul 09 16:17:04 +0000 2020,TheReal Truther,thereal_truther,"Exposing the lies, propaganda & hate of the anti-science movement",California,"@ArazHajiyev1 @JonStanich @flyonth95943833 @mail_celal @daniellevitt22 Incorrect.

COVID deniers are already claiming the virus is weakening or may even disappear by the winter. If so, their strategy is brilliant.

Or a proven treatment or even vaccine could become available.

Worst case, treatments have already gotten better.",0,0,0,0,https://t.co/lvclbmrXN7,https://twitter.com/i/web/status/1281261094627979265,,,,,,,,,"incorrect. covid deniers are already claiming the virus is weakening or may even disappear by the winter. if so, their strategy is brilliant. or a proven treatment or even vaccines could become available. worst case, treatments have already gotten better."
127,128,No,1281261096809254913,Thu Jul 09 16:17:04 +0000 2020,Ottawa County Health,miOCDPH,Our Vision - Healthy People.,"Holland, Michigan",Huge drop in Michigan vaccinations scares experts during coronavirus  https://t.co/HcWBeNVdT6 via @BridgeMichigan Don't delay - Get your child's vaccines before the back-to-school rush! Call your doctor or the health department 616-396-5266.,0,0,0,0,https://t.co/HcWBeNVdT6,https://www.bridgemi.com/michigan-health-watch/huge-drop-michigan-vaccinations-scares-experts-during-coronavirus,https://t.co/jN6pPp2im4,https://twitter.com/i/web/status/1281261096809254913,,,,,,,huge drop in michigan vaccines scares expes during coronavirus via don't delay - get your child's vaccines before the back-to-school rush! call your doctor or the health depament 616-396-5266.
128,129,Yes,1281261106065887232,Thu Jul 09 16:17:07 +0000 2020,K Rupesh kumar rao,KRupeshkumarra1,"Frist cry on 19/03 🍫🎂 ,  $$$ Music😍😍😍 ,  $$$ 👊Never Give Up👊","Cuttack, India","-2 #COVID19 vaccines indigenously developed in India 
-Animal toxicity study completed
-Phase-I, Phase-II trials to begin at identified sites soon 

OSD Health Ministry",0,0,0,0,,,,,,,,,,,"-2 vaccines indigenously developed in india -animal toxicity study completed -phase-i, phase-ii trials to begin at identified sites soon osd health ministry"
129,130,No,1281261117810053120,Thu Jul 09 16:17:09 +0000 2020,susanna801,susanna8012,,,11 coronavirus vaccines to keep an eye on - The Boston Globe https://t.co/kdbFkFiTpK,0,0,0,0,https://t.co/kdbFkFiTpK,https://www.bostonglobe.com/2020/07/09/nation/11-coronavirus-vaccines-keep-an-eye/,,,,,,,,,11 coronavirus vaccines to keep an eye on - the boston globe
130,131,Yes,1281261152194920452,Thu Jul 09 16:17:18 +0000 2020,"It's pronounced Moan-a, like Mona",MoanaLisha,"They say she a Pisces, I heard they are feisty... #HottiewithaPoddie! Follow @mouthinoffmoana NOW!",North Cack,Folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.,0,0,0,0,,,,,,,,,,,folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.
131,132,No,1281261157274259457,Thu Jul 09 16:17:19 +0000 2020,10er,kyle10er,I don’t take this seriously.,"Pennsylvania, USA",It took 5 years to develop a succussful vaccine for Ebola. This Covid vaccine will take a lot longer than they’re telling you,0,0,0,0,,,,,,,,,,,it took 5 years to develop a succussful vaccines for ebola. this covid vaccines will take a lot longer than theyre telling you
132,133,Yes,1281261165943779328,Thu Jul 09 16:17:21 +0000 2020,Shivam Shukla,ishivam_shukla,Student Activist |Delhi University|,"New Delhi, India","India’s pharma industry is an asset not just for India but the entire world. Indian vaccines account for two-third of the vaccine needs of the children globally.

Our companies are active in collaboration with international efforts for development &amp; production of COVID19 vaccine. https://t.co/tVqfi9cHJn",0,0,0,0,,,,,,,,,,,indias pharma industry is an asset not just for india but the entire world. indian vaccines account for two-third of the vaccines needs of the children globally. our companies are active in collaboration with international effos for development &amp; production of covid19 vaccines
133,134,No,1281261197388644354,Thu Jul 09 16:17:28 +0000 2020,Tony نعیم,StrengthBuild,24 // I do things,occupied Kiikaapoi territory,"@AllegedlyZo ""why the US should turn philanthropy into a market opportunity through COVID vaccines"", by Steven Pinker",0,0,0,0,,,,,,,,,,,"""why the us should turn philanthropy into a market oppounity through covid vaccines by steven pinker"
134,135,Yes,1281261230381023233,Thu Jul 09 16:17:36 +0000 2020,Rude Bina,RudeBina,"When it’s real, it’s not rude. Animal rights, Humanist, Climate Change. #AdoptDontShop #TheResistance #FBR #NEVERAGAIN",,"@MikeSington • He’s suspicious of a coronavirus vaccine, terming vaccines “the mark of the beast.”

• He believes “Planned Parenthoods have been placed inside cities by white supremacists to do the Devil’s work.”",0,0,0,0,,,,,,,,,,,hes suspicious of a coronavirus vaccines terming vaccines the mark of the beast. he believes planned parenthoods have been placed inside cities by white supremacists to do the devils work.
135,136,Yes,1281261235699355648,Thu Jul 09 16:17:37 +0000 2020,Kurt Appolis,KurtAppolis,Software Developer & Sweet tooth. CTO @RLabs. Code is art.,"Cape Town, South Africa","Snapshot 📸 of the impact so far from the #EssentialsCampaign over the last 72 hours. Where collectively we have been supporting #YOUTH families during the tough times of the #Covid19 pandemic 

Power of Collaborating 🤝🏾
@jpmorgan @DellFdn @RLabs @UNICEF @ESquaredSA @UNICEF_SA https://t.co/Uu9JQlpNWC",0,0,0,0,,,,,,,,,,,snapshot of the impact so far from the over the last 72 hours. where collectively we have been suppoing families during the tough times of the pandemic power of collaborating
136,137,Yes,1281261281706573825,Thu Jul 09 16:17:48 +0000 2020,ಕಳಕಯ್ಯ ಸ್ವಾಮಿ.ಜಿ ಸಶಿಮಠ,SanjaySasimatth,ಕಾಯಕವೇ ದೈವ,"Bengaluru, India","Union @HRDMinistry decision to drop chapters on Citizenship,Secularism &amp; Federalism is brazen attempt to saffronise education system

This proves there are hidden hands in govt who are calling the shots

On pretext of covid BJP is engaged in perusing their agenda in many sectors",0,0,0,0,,,,,,,,,,,"union decision to drop chapters on citizenship,secularism &amp; federalism is brazen attempt to saffronise education system this proves there are hidden hands in govt who are calling the shots on pretext of covid bjp is engaged in perusing their agenda in many sectors"
137,138,Yes,1281261281803227137,Thu Jul 09 16:17:48 +0000 2020,Eric Boyd,ericboyd,"An independent critical thinker supporting free choice and much less government; Loves family, photography, gardening, barefoot jogging, Nature and beer.",Waterloo,"And here’s the same graph for Canada as a whole. The pandemic is over. Its death toll, thank God, was no worse than flu season. Anyone who argues for mandatory masks or vaccines or continued lockdowns is just doing it for reasons of power and control. https://t.co/Eu8nJzoP7y https://t.co/iQv52pmQgQ",0,0,0,0,,,,,,,,,,,"and heres the same graph for canada as a whole. the pandemic is over. its death toll, thank god, was no worse than flu season. anyone who argues for mandatory masks or vaccines or continued lockdowns is just doing it for reasons of power and control."
138,139,No,1281261346026393604,Thu Jul 09 16:18:04 +0000 2020,NewExpressNews,NewExpressNews,"About Us | Express News Global provides our valuable users, daily updates from authentic news sources in types of; Today News, World News, News Videos, Breaking","East Brunswick, NJ",Moderna inks fill-finish pact with Spain’s Rovi for ‘hundreds of millions’ of COVID-19 shot doses https://t.co/Ob1FN3wyaw,0,0,0,0,https://t.co/Ob1FN3wyaw,https://www.winway.me/health-remedies/moderna-inks-fill-finish-pact-with-spains-rovi-for-hundreds-of-millions-of-covid-19-shot-doses/,,,,,,,,,moderna inks fill-finish pact with spains rovi for hundreds of millions of covid-19 shotdoses
139,140,Yes,1281261347410522112,Thu Jul 09 16:18:04 +0000 2020,EMPOWERING ERODE,EmpoweringErode,✨ Bringing all are the Erodians together💥 #ErodeNews & Updateds,,"Covid vaccine is just not a scientific challenge. It's also a manufacturing &amp; logistics one. 

World population is 7.8 billion. To vaccinate 10%, we need about 780 million doses. How fast? Say 2 months, that's about 13 million doses per day.",0,0,0,0,,,,,,,,,,,"covid vaccines is just not a scientific challenge. it's also a manufacturing &amp; logistics one. world population is 7.8 billion. to vaccines 10%, we need about 780 million doses. how fast? say 2 months, that's about 13 million doses per day."
140,141,No,1281261361130098689,Thu Jul 09 16:18:07 +0000 2020,The Pakistan Post,TPPNewsOfficial,#ThePakistanPost or #TPPNews Features #Breaking and #Important #News From #Pakistan #World #Health #Sports #Entertainment #SciTech & #Business Communities.,Pakistan,Africa could have COVID-19 vaccine in first quarter of 2021 https://t.co/ekhpwImGIc,0,0,0,0,https://t.co/ekhpwImGIc,https://thepakistanpost.net/africa-could-have-covid-19-vaccine-in-first-quarter-of-2021/,,,,,,,,,africa could have covid-19 vaccines in first quaer of2021
141,142,Yes,1281261379580760064,Thu Jul 09 16:18:12 +0000 2020,Ann Riordan,AnnRiordan6,,,"NEXT BIG MEDIA HIT AGAINST BIG PHARMA

Brazil's President Jair Bolsonaro says he's taking hydroxychloroquine for his Coronavirus.

He takes his 3rd dose and he is feeling very well.

Hydroxychloroquine works. 
No vaccination is required. https://t.co/5qeBzooLDH",0,0,0,0,,,,,,,,,,,next big media hit against big pharma brazil's president jair bolsonaro says he's taking hydroxychloroquine for his coronavirus. he takes his 3rd dose and he is feeling very well. hydroxychloroquine works. no vaccines is required.
142,143,No,1281261382126768129,Thu Jul 09 16:18:12 +0000 2020,Reuters Africa,ReutersAfrica,Reuters Africa provides a feed of our latest news from the continent.,,Africa could have COVID-19 vaccine in Q1 if human trials work - South Africa trial lead https://t.co/MoNMSeZAVD,0,0,0,0,https://t.co/MoNMSeZAVD,https://af.reuters.com/article/topNews/idAFKBN24A2FV-OZATP,,,,,,,,,africa could have covid-19 vaccines in q1 if human trials work - south africa trial lead
143,144,Yes,1281261394315243520,Thu Jul 09 16:18:15 +0000 2020,Otter.ai Voice Meeting Notes,otter_ai,Award-winning #voicefirst team collaboration app for meetings & conversations - Otter Voice Meeting Notes #futureofwork,"Los Altos, CA","$OGEN  confernce call June 4th looks like news about to be released on covid 19 vaccine  We've already acquired the technology from the NIH, and any day now should receive the battery of pre clinical test results on this particular vaccine candidate. https://t.co/auTxM9zmQt",0,0,0,0,,,,,,,,,,,"$ogen confernce call june 4th looks like news about to be released on covid 19 vaccines we've already acquired the technology from the nih, and any day now should receive the battery of pre clinical test results on this paicular vaccines candidate."
144,145,Yes,1281261395326242816,Thu Jul 09 16:18:15 +0000 2020,Peter DiGregorio,digggr17,,,"And here’s the same graph for Canada as a whole. The pandemic is over. Its death toll, thank God, was no worse than flu season. Anyone who argues for mandatory masks or vaccines or continued lockdowns is just doing it for reasons of power and control. https://t.co/Eu8nJzoP7y https://t.co/iQv52pmQgQ",0,0,0,0,,,,,,,,,,,"and heres the same graph for canada as a whole. the pandemic is over. its death toll, thank god, was no worse than flu season. anyone who argues for mandatory masks or vaccines or continued lockdowns is just doing it for reasons of power and control."
145,146,Yes,1281261403555328000,Thu Jul 09 16:18:17 +0000 2020,Jupiter 🇺🇸👽,PhotonOfGod,Save The Children! WWG1WGA #GodWins,Photon,A reminder that Bill Gates who's pushing for your Covid-19 vaccine sponsored this creature: Marina Abramovic . https://t.co/etoC1uOWxH,0,0,0,0,,,,,,,,,,,a reminder that bill gates who's pushing for your covid-19 vaccines sponsored this creature: marina abramovic .
146,147,No,1281261449000730631,Thu Jul 09 16:18:28 +0000 2020,Ellen ASHLEY,EllenAshley2020,#Resister 🌊🍊 Obama is #MyPresident!! #VoteByMail🗳 is a RIGHT. #SocialDistanacing 😷 #RuleOfLaw⚖. #BlackLivesMatter. #NoJusticeNoPeace✊🏽✊🏿,,"U.S. Weighs Early Vaccine Access for Minorities and Others at Risk

When a coronavirus vaccine hits the market, it will be a key tool in putting an end to the pandemic. A federal committee is debating who in the population should get it first.
 https://t.co/TQNM2haOC1",0,0,0,0,https://t.co/TCQCBuo1zf,https://twitter.com/i/web/status/1281261449000730631,https://t.co/TQNM2haOC1,https://nyti.ms/2BSb3IC,,,,,,,"u.s. weighs early vaccines access for minorities and others at risk when a coronavirus vaccines hits the market, it will be a key tool in putting an end to the pandemic. a federal committee is debating who in the population should get it first."
147,148,No,1281261454218452995,Thu Jul 09 16:18:30 +0000 2020,Terrierist,GenaWri71272363,"Love digging in the dirt, flowers, my two terriers, God’s blue sky and green pastures, the sound of waves crashing, a horse’s whinny & hooves pounding!",Vote Blue Nation 💙,@BGRMHayFam4 @NinoVit People like you who refuse to wear a mask are why the COVID-19 case numbers have shot up so much!  Which is why we are going back to demanding that we all wear masks in public!!!  Get a freaking clue!!!,0,0,0,0,https://t.co/oiOXOGxoBi,https://twitter.com/i/web/status/1281261454218452995,,,,,,,,,people like you who refuse to wear a mask are why the covid-19 case numbers have shot up so much! which is why we are going back to demanding that we all wear masks in public!!! get a freaking clue!!!
148,149,Yes,1281261454545559554,Thu Jul 09 16:18:30 +0000 2020,Shecky,SheckyX,"Geek. SF/F copyeditor (rehomes feral commas, hot-glues dangling participles, etc.). Quantum comma mechanic. He/him. (Avatar by @howardtayler.)",Khazad-dûm,"Counterargument: If your god would send you to hell for getting a vaccine, your god is a dick. https://t.co/zKEEaT9wbP",0,0,0,0,https://t.co/zKEEaT9wbP,https://twitter.com/fran_chambers/status/1280826316468740096,,,,,,,,,counterargument: if your god would send you to hell for getting a vaccines your god is a dick.
149,150,Yes,1281261459264221185,Thu Jul 09 16:18:31 +0000 2020,Josh Ryan,JoshRyan116,"Socially conservative, fiscally liberal",,"""So many of our children are being vaccinated &amp; paralysed. When they say the way we’re going to fix covid is with a vaccine, I’m extremely cautious."" RT Kanye West takes anti-vaccine, anti-abortion stance in US presidential bid; 
https://t.co/yaDSu0SFxQ",0,0,0,0,,,,,,,,,,,"""so many of our children are being vaccines &amp; paralysed. when they say the way were going to fix covid is with a vaccines im extremely cautious."" kanye west takes vaccines anti-aboion stance in us presidential bid;"
150,151,Yes,1281261463378640898,Thu Jul 09 16:18:32 +0000 2020,Meena parmar,Meenaparmar1977,"State Vice President BJP Mahila Morcha, $$$ followed by PM Sh. Narender Modi Ji, $$$ पूर्व भाजपा प्रत्याशी तोशाम विधानसभा क्षेत्र।","Bhiwani, Haryana","India’s pharma industry is an asset not just for India but the entire world. Indian vaccines account for two-third of the vaccine needs of the children globally.

Our companies are active in collaboration with international efforts for development &amp; production of COVID19 vaccine. https://t.co/tVqfi9cHJn",0,0,0,0,,,,,,,,,,,indias pharma industry is an asset not just for india but the entire world. indian vaccines account for two-third of the vaccines needs of the children globally. our companies are active in collaboration with international effos for development &amp; production of covid19 vaccines
151,152,No,1281261465580732416,Thu Jul 09 16:18:32 +0000 2020,Per Lindholm,perrabyte,Peroglyfer – Machine Learning changes math. Math changes everything.,Sweden,Corona Virus Vaccine - We don't know enough about every possible motives for the virus. If fake media wants to recognize it as an air born virus to force a vaccine on us maybe its dangerous to us humans?,0,0,0,0,https://t.co/oVv7SEsoSu,https://twitter.com/i/web/status/1281261465580732416,,,,,,,,,corona virus vaccines - we don't know enough about every possible motives for the virus. if fake media wants to recognize it as an air born virus to force a vaccines on us maybe its dangerous to us humans?
152,153,No,1281261469758189569,Thu Jul 09 16:18:33 +0000 2020,sid,palpatean,Talent on loan from God | Fella posting daily,,Wife and I agreed that the lad isnt getting any vaccine until a few years after. Imagine pumping your kid with a rushed to market vaccine.,0,0,0,0,https://t.co/UwXVnbMlRJ,https://twitter.com/i/web/status/1281261469758189569,,,,,,,,,wife and i agreed that the lad isnt getting any vaccines until a few years after. imagine pumping your kid with a rushed to market vaccines
