,tweet,vaccine_neutral,vaccine_negative,vaccine_positive,vaccine_negative_neutral_ratio,vaccine_positive_neutral_ratio,vaccine_negative_positive_ratio,vaccine_positive_negative_ratio,vaccines_neutral,vaccines_negative,vaccines_positive,vaccines_negative_neutral_ratio,vaccines_positive_neutral_ratio,vaccines_negative_positive_ratio,vaccines_positive_negative_ratio,vaccination_neutral,vaccination_negative,vaccination_positive,vaccination_negative_neutral_ratio,vaccination_positive_neutral_ratio,vaccination_negative_positive_ratio,vaccination_positive_negative_ratio
0,"i wrote this in may, describing how covid-19 was now endemic in the us. my guess was 15,000 to 20,000 americans would get sick and 500 to 1,000 americans would die every day until we got an effective vaccines i was wrong. way too optimistic.",0.010175609961152077,0.9779039025306702,0.011920507065951824,96.10272979736328,1.1714783906936646,82.03543090820312,0.012189854867756367,0.005842382088303566,0.9852779507637024,0.008879699744284153,168.6431884765625,1.5198765993118286,110.9584732055664,0.009012380614876747,0.15152758359909058,0.8353070020675659,0.01316543947905302,5.512573719024658,0.08688477426767349,63.44695281982422,0.015761198475956917
1,infection control epidemiologist predicts the canada-u.s. border will only open if a covid-19 vaccines is created or if enough people have been infected with the virus and build herd immunity.,0.6508150696754456,0.3159100115299225,0.03327493742108345,0.4854067265987396,0.05112810060381889,9.493932723999023,0.10533042997121811,0.37199893593788147,0.6138221025466919,0.014179016463458538,1.6500641107559204,0.038115743547677994,43.29087829589844,0.02309955283999443,0.5021377801895142,0.4823583960533142,0.01550385169684887,0.9606096744537354,0.030875692144036293,31.112165451049805,0.03214176744222641
2,folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.,0.6328868269920349,0.3513900935649872,0.015723073855042458,0.5552179217338562,0.024843420833349228,22.348690032958984,0.04474535211920738,0.49292272329330444,0.49308693408966064,0.013990367762744427,1.0003331899642944,0.028382476419210434,35.24474334716797,0.028373025357723236,0.7084252834320068,0.28429073095321655,0.007284003309905529,0.40129953622817993,0.01028196420520544,39.02946090698242,0.025621669366955757
3,"yeah, america has never really had cultural solidarity since 9/11 and is far more individualistic. not sure that's bad, ceainly 99% of the time i don't think it is a problem. it's still a tbd with covid. if we have a vaccines and widespread theraputics (as it seems it is)...",0.6204963326454163,0.027137985453009605,0.3523656725883484,0.04373593255877495,0.5678771138191223,0.07701653987169266,12.984223365783691,0.5927505493164062,0.028673427179455757,0.3785760700702667,0.0483735129237175,0.6386768817901611,0.07574020326137543,13.203028678894043,0.8468477725982666,0.03858961537480354,0.11456264555454254,0.04556853696703911,0.1352812796831131,0.33684292435646057,2.968742847442627
4,once theres a covid vaccines i will be bringing back the phenomenon of drinking songs.,0.3676031231880188,0.15734240412712097,0.47505447268486023,0.42802250385284424,1.2923026084899902,0.3312091827392578,3.019239902496338,0.21471910178661346,0.09573774039745331,0.6895431876182556,0.4458743631839752,3.2113733291625977,0.13884226977825165,7.202417850494385,0.5373731851577759,0.3784977197647095,0.08412909507751465,0.7043479681015015,0.15655618906021118,4.499011039733887,0.22227106988430023
5,covid-19 vaccines could be available in africa in the first quaer of 2021,0.42865389585494995,0.09006059914827347,0.48128554224967957,0.2101009637117386,1.1227835416793823,0.1871250867843628,5.344018936157227,0.49022307991981506,0.2564108371734619,0.2533661127090454,0.5230492949485779,0.5168383717536926,1.0120171308517456,0.9881256222724915,0.7590592503547668,0.08356940746307373,0.157371386885643,0.1100960299372673,0.20732425153255463,0.5310330390930176,1.8831219673156738
6,next big media hit against big pharma brazil's president jair bolsonaro says he's taking hydroxychloroquine for his coronavirus. he takes his 3rd dose and he is feeling very well. hydroxychloroquine works. no vaccines is required.,0.8648291230201721,0.01865248754620552,0.11651840060949326,0.021567830815911293,0.13472996652126312,0.1600819081068039,6.24680233001709,0.905536949634552,0.02861868403851986,0.06584441661834717,0.03160410374403,0.07271312177181244,0.4346410036087036,2.3007493019104004,0.7271596789360046,0.012369384057819843,0.2604708969593048,0.01701054722070694,0.3582031726837158,0.04748854413628578,21.057708740234375
7,"in quarantine, has searched for a coronavirus vaccines exposed how the rich quarantine, and finished all of netflix:",0.8266878724098206,0.07588887214660645,0.09742319583892822,0.09179870039224625,0.11784761399030685,0.7789610028266907,1.2837612628936768,0.8031279444694519,0.1333933174610138,0.06347878277301788,0.16609223186969757,0.07903943955898285,2.101384401321411,0.4758767783641815,0.8845807909965515,0.04607290402054787,0.06934629380702972,0.05208444967865944,0.07839452475309372,0.6643888354301453,1.5051426887512207
8,wow. you keep digging.. sars/mers are both a coronavirus it is literally in the name: severe acute respiratory syndrome-related coronavirus middle east respiratory syndrome-related coronavirus no vaccines no. but as i said where is sars?? or mers?,0.8746166229248047,0.10516875237226486,0.020214634016156197,0.1202455461025238,0.023112565279006958,5.2026047706604,0.19221140444278717,0.7661988735198975,0.21444320678710938,0.019357914105057716,0.27987930178642273,0.025264868512749672,11.077805519104004,0.09027058631181717,0.6602820158004761,0.3295772671699524,0.010140730999410152,0.4991462230682373,0.015358181670308113,32.50034713745117,0.030768902972340584
9,"despite our collective fatigue from the coronavirus, the only way to save lives and revive the economy is to stay the course with tactics such as physical distancing and wearing masks. until a vaccines is developed, we must be extremely careful in our plans to reopen.",0.44693630933761597,0.5160067677497864,0.03705696016550064,1.154542088508606,0.08291329443454742,13.924692153930664,0.0718148723244667,0.39873623847961426,0.5639464855194092,0.03731734678149223,1.4143346548080444,0.09358905255794525,15.112180709838867,0.0661717876791954,0.7131977677345276,0.2690672278404236,0.017735037952661514,0.3772687613964081,0.024866929277777672,15.17150592803955,0.06591303646564484
