,tweet,vaccine_neutral,vaccine_negative,vaccine_positive,vaccine_negative_neutral_ratio,vaccine_positive_neutral_ratio,vaccine_negative_positive_ratio,vaccine_positive_negative_ratio,vaccines_neutral,vaccines_negative,vaccines_positive,vaccines_negative_neutral_ratio,vaccines_positive_neutral_ratio,vaccines_negative_positive_ratio,vaccines_positive_negative_ratio,vaccination_neutral,vaccination_negative,vaccination_positive,vaccination_negative_neutral_ratio,vaccination_positive_neutral_ratio,vaccination_negative_positive_ratio,vaccination_positive_negative_ratio
0,"i wrote this in may, describing how covid-19 was now endemic in the us. my guess was 15,000 to 20,000 americans would get sick and 500 to 1,000 americans would die every day until we got an effective vaccination i was wrong. way too optimistic.",0.054548487067222595,0.9209518432617188,0.024499665945768356,16.8831787109375,0.44913557171821594,37.59038543701172,0.026602547615766525,0.02218344248831272,0.9398215413093567,0.03799507021903992,42.365901947021484,1.7127671241760254,24.735355377197266,0.04042796418070793,0.15179741382598877,0.8092373609542847,0.03896526247262955,5.331035137176514,0.2566925287246704,20.76817512512207,0.048150599002838135
1,infection control epidemiologist predicts the canada-u.s. border will only open if a covid-19 vaccination is created or if enough people have been infected with the virus and build herd immunity.,0.46803873777389526,0.4879617393016815,0.04399954900145531,1.0425670146942139,0.09400834888219833,11.090152740478516,0.09017007797956467,0.10637184232473373,0.872994065284729,0.020634140819311142,8.207003593444824,0.19398123025894165,42.30823516845703,0.02363606169819832,0.9082088470458984,0.07627931982278824,0.015511807054281235,0.0839887410402298,0.017079560086131096,4.9175004959106445,0.2033553421497345
2,folks get on here talking about covid is a hoax so the govt can give out vaccination to implant chips in us. meanwhile they got like three alexa dots in the house.,0.31100523471832275,0.6619852185249329,0.02700953558087349,2.1285340785980225,0.08684591948986053,24.509315490722656,0.04080081358551979,0.2521588206291199,0.703236997127533,0.04460413381457329,2.788865327835083,0.17688904702663422,15.76618480682373,0.06342688947916031,0.7727305889129639,0.2230631560087204,0.004206256475299597,0.2886687219142914,0.005443367175757885,53.03127670288086,0.018856795504689217
3,"yeah, america has never really had cultural solidarity since 9/11 and is far more individualistic. not sure that's bad, ceainly 99% of the time i don't think it is a problem. it's still a tbd with covid. if we have a vaccination and widespread theraputics (as it seems it is)...",0.7059128284454346,0.14361494779586792,0.1504722535610199,0.20344573259353638,0.21315982937812805,0.9544280767440796,1.0477478504180908,0.6054761409759521,0.13308759033679962,0.2614363133907318,0.2198064923286438,0.43178632855415344,0.5090631246566772,1.964392900466919,0.9382294416427612,0.002788257086649537,0.05898233503103256,0.002971828682348132,0.06286557763814926,0.04727274924516678,21.153837203979492
4,once theres a covid vaccination i will be bringing back the phenomenon of drinking songs.,0.2978464663028717,0.4795975983142853,0.22255592048168182,1.610217571258545,0.7472169399261475,2.1549532413482666,0.4640471935272217,0.18662787973880768,0.262660950422287,0.5507111549377441,1.4074046611785889,2.9508514404296875,0.47694867849349976,2.0966618061065674,0.0670732855796814,0.002509188139811158,0.930417537689209,0.037409648299217224,13.871655464172363,0.002696841023862362,370.8042297363281
5,covid-19 vaccination could be available in africa in the first quaer of 2021,0.6074104905128479,0.1211930513381958,0.2713964581489563,0.1995241343975067,0.44680896401405334,0.4465535581111908,2.239373207092285,0.4404110014438629,0.36465492844581604,0.19493405520915985,0.827987790107727,0.4426184892654419,1.8706579208374023,0.5345712900161743,0.6219993829727173,0.034917108714580536,0.34308353066444397,0.05613688752055168,0.5515817999839783,0.10177436470985413,9.82565689086914
6,next big media hit against big pharma brazil's president jair bolsonaro says he's taking hydroxychloroquine for his coronavirus. he takes his 3rd dose and he is feeling very well. hydroxychloroquine works. no vaccination is required.,0.7822006940841675,0.11082823574542999,0.10697108507156372,0.14168772101402283,0.13675656914710999,1.0360578298568726,0.9651970267295837,0.7234926819801331,0.0678350105881691,0.20867237448692322,0.09376046806573868,0.288423627614975,0.3250790238380432,3.0761752128601074,0.9089173078536987,0.010288907214999199,0.08079380542039871,0.011319959536194801,0.08889015763998032,0.12734772264957428,7.852515697479248
7,"in quarantine, has searched for a coronavirus vaccination exposed how the rich quarantine, and finished all of netflix:",0.40136852860450745,0.14098355174064636,0.4576478898525238,0.3512571156024933,1.1402186155319214,0.3080611824989319,3.246108293533325,0.26014360785484314,0.19043627381324768,0.5494201183319092,0.7320428490638733,2.111987829208374,0.34661322832107544,2.8850603103637695,0.9574951529502869,0.021796338260173798,0.020708514377474785,0.022763915359973907,0.021627800539135933,1.052530288696289,0.9500914216041565
8,wow. you keep digging.. sars/mers are both a coronavirus it is literally in the name: severe acute respiratory syndrome-related coronavirus middle east respiratory syndrome-related coronavirus no vaccination no. but as i said where is sars?? or mers?,0.36775898933410645,0.618107259273529,0.014133759774267673,1.6807399988174438,0.03843212500214577,43.73268508911133,0.02286619320511818,0.42267459630966187,0.5570986866950989,0.020226726308465004,1.318032145500183,0.04785413295030594,27.542701721191406,0.036307260394096375,0.9295783638954163,0.05948397144675255,0.010937608778476715,0.0639902725815773,0.011766203679144382,5.438480377197266,0.18387489020824432
9,"despite our collective fatigue from the coronavirus, the only way to save lives and revive the economy is to stay the course with tactics such as physical distancing and wearing masks. until a vaccination is developed, we must be extremely careful in our plans to reopen.",0.25683072209358215,0.6877343058586121,0.055434949696063995,2.6777727603912354,0.2158423662185669,12.406149864196777,0.08060518652200699,0.17009283602237701,0.7100133299827576,0.11989381909370422,4.174269676208496,0.7048728466033936,5.922017574310303,0.16886135935783386,0.974128782749176,0.008422338403761387,0.017448918893933296,0.008646021597087383,0.017912331968545914,0.482685387134552,2.0717427730560303
10,"covid snapshot: 5 states have single day record of infections, mo, tn, tx, ut, wv; 72% increase nationally over last two weeks; 24 states had more cases last week than any week since beginning of pandemicand donald trump is threatening schools that don't fully re-open.",0.14491434395313263,0.8396132588386536,0.015472385101020336,5.793859004974365,0.10676917433738708,54.26527786254883,0.01842799037694931,0.17315039038658142,0.7979881167411804,0.028861552476882935,4.608641624450684,0.16668488085269928,27.648828506469727,0.036167897284030914,0.351791113615036,0.6372674703598022,0.01094144582748413,1.811493992805481,0.03110210970044136,58.24344253540039,0.017169315367937088
11,zendaya and john david washington secretly shot an entire movie during coronavirus shutdown,0.4260544180870056,0.562728762626648,0.011216872371733189,1.3207907676696777,0.02632732316851616,50.16806411743164,0.019933000206947327,0.2449146956205368,0.7114724516868591,0.04361286386847496,2.9049806594848633,0.1780736893415451,16.31336212158203,0.06129944324493408,0.5780101418495178,0.4151836335659027,0.006806275807321072,0.7182981967926025,0.011775356717407703,61.000118255615234,0.01639341004192829
